scoring_date,ACCOUNT_ID,SKU_ID,rank,score,k_recommended,model,generation_ts
2022-09-01,25917,7026,2,2.4283,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.749830Z
2022-09-01,25917,19088,3,1.0391,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.749840Z
2022-09-01,25917,19341,4,0.8753,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.749849Z
2022-09-01,25917,25384,5,0.3709,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.749859Z
2022-09-01,26161,19341,1,2.0582,4,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.973778Z
2022-09-01,26161,19088,2,1.9131,4,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.973785Z
2022-09-01,26161,7651,3,1.8951,4,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.973792Z
2022-09-01,26161,24118,4,1.4485,4,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.973798Z
2022-09-01,26191,19088,1,3.11,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.040013Z
2022-09-01,26191,19341,2,2.2771,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.040020Z
2022-09-01,26191,1416,3,1.2921,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.040027Z
2022-09-01,26191,77934,4,1.1744,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.040034Z
2022-09-01,26191,7038,5,1.0204,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.040041Z
2022-09-01,26222,7038,1,3.688,4,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.912053Z
2022-09-01,26222,7651,2,3.0329,4,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.912060Z
2022-09-01,26222,26567,3,1.9685,4,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.912067Z
2022-09-01,26222,24118,4,1.5386,4,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.912074Z
2022-09-01,26240,19399,1,2.2465,9,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.021260Z
2022-09-01,26240,16936,2,2.2249,9,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.021267Z
2022-09-01,26240,17991,3,2.2233,9,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.021274Z
2022-09-01,26240,7634,4,2.1756,9,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.021281Z
2022-09-01,26240,7651,5,1.7983,9,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.021288Z
